uid,label,date,points_std,covering_std,num_of_points,covering,entropy,turning_radius,place_dif,weekdays_weekends,ratio_day,ratio_night
60134744,1,32,4.428645755,2.776449055,9.0,5.96875,4.834860005,7.145578436,0.0182,-0.77294686,0.31259968102073366,0.4120961682945154
60134767,0,32,7.0043189439999995,2.2049705580000003,30.1875,7.09375,4.934954048,7.1401095539999995,0.0958,13.28985507,0.32592592592592595,0.7855787476280834
60134804,0,32,8.49644138,2.250224003,31.0625,6.96875,4.913857514,7.14908699,0.2769,9.154589372,0.30347277032359904,0.30347277032359904
60134805,0,32,8.735760303,4.328729978,24.40625,8.6875,4.8067048869999995,7.159191996000001,0.3437,16.16908213,0.5538694992412747,0.5538694992412747
60134806,1,32,2.9175497889999997,2.374044799,12.9375,6.90625,4.92005963,7.134420057000001,0.0125,0.149758454,0.8883977900552487,0.4323406478578892
60134814,0,32,6.218387795,2.89308826,28.09375,8.78125,4.922040453999999,7.1465684110000005,0.2173,16.71014493,0.5240948163584267,0.4224724986904138
60134816,0,32,7.483247419,2.038935522,23.53125,5.6875,4.906292992,7.163235842000001,0.0493,4.942028986,0.6066964285714286,0.5462264150943397
60134823,0,29,6.467615423,2.8608965489999996,24.48275862,8.551724137999999,4.78175015,7.149245116,0.1246,13.82777778,0.5730416372618208,0.7053872053872053
60134893,0,32,9.139102006,2.455860338,20.65625,4.96875,4.816353089,7.128140677999999,0.0123,19.08695652,0.33225657591139823,0.4158904882867626
60134913,0,32,7.148200766,2.136472824,17.75,5.625,4.889504432,7.134588078999999,0.0917,15.52173913,0.10202863961813842,0.10202863961813842
60134965,0,30,9.211998672,2.193249832,22.63333333,6.5,4.82729278,7.139239492000001,0.3633,-8.952380952,0.24440298507462688,0.24440298507462688
60134983,1,29,4.2519193,2.652259934,9.689655172,4.965517241000001,4.652527446000001,7.149724356,0.059000000000000004,-7.321428571,0.6390243902439025,0.6390243902439025
60135003,0,29,5.408896157,3.098545662,11.44827586,6.379310345,4.669809195,7.145674467999999,0.0637,-13.35,0.22207189795129495,0.07352941176470588
60135006,1,21,3.5583570310000003,1.4242792659999999,6.523809524,2.857142857,4.215922064,7.149335442999999,0.0312,-9.777777777999999,0.3313265306122449,0.35375494071146246
60135008,0,31,10.35166601,2.212379636,28.09677419,6.193548387000001,4.855517676,7.1397523210000005,0.1997,15.26570048,0.3568248225963545,0.1815633758953597
60135013,0,32,7.478396305,1.999747968,13.40625,3.53125,4.802363888,7.146338349,0.1349,0.38647343,0.347139718447392,0.26360263808738665
60135014,0,32,6.442597027000001,2.720886952,26.90625,6.375,4.878314279,7.148107959,0.0681,-11.11594203,0.4937523665278304,0.4937523665278304
60135018,1,32,6.069490067,1.702701838,9.75,2.9375,4.781597199,7.113223071,0.3705,0.059782609,0.4122042341220423,0.4122042341220423
60135019,0,30,6.323101232000001,1.683250823,26.13333333,4.833333333,4.820644741000001,7.14719555,0.0315,5.429292929,0.341324200913242,0.20182256767622622
60135035,0,17,10.53635164,1.325651893,25.47058824,3.411764706,3.988952926,7.139271311,0.4397,4.444444444,0.21060802069857698,0.21060802069857698
60135040,0,32,4.5076100530000005,1.974637574,22.0625,7.8125,4.9551374489999995,7.14728656,0.1551,12.5942029,0.17647058823529413,0.17647058823529413
60135041,1,29,4.370467392,2.1334770069999998,9.379310345,4.137931034,4.705788485,7.155054389,0.2305,-14.61904762,0.22839969947407965,0.22839969947407965
60135042,0,30,6.209836469,2.428044954,20.3,6.6333333329999995,4.8096129439999995,7.142186274,0.2285,15.10869565,0.21834552616769837,0.21834552616769837
60135076,0,30,7.5085392,1.406471087,25.03333333,3.433333333,4.803690669,7.139950788999999,0.4557,16.89393939,0.3391645462256149,0.3391645462256149
60135106,1,32,5.835013199,1.981517421,21.21875,4.59375,4.866359401,7.140362106,0.465,-4.763285024,0.43544733861834656,0.43544733861834656
60135119,0,30,10.98693058,1.847334209,22.66666667,3.9666666669999997,4.755863828,7.138120749,0.7002,16.64141414,0.2888022678951099,0.2888022678951099
60135121,1,30,3.726265888,1.650148025,6.666666667,2.366666667,4.603402753999999,7.151252846,0.6813,-20.01587302,0.511250654107797,0.511250654107797
60135129,1,32,4.200134406,2.520080644,9.6875,6.3125,4.890958217,7.148291254,0.0828,-5.413043478,0.09571788413098237,0.09571788413098237
60135139,1,32,8.507053525,2.306853394,11.78125,4.03125,4.7801919580000005,7.14588094,0.0201,3.251207729,0.26347009391992093,0.34911242603550297
60135140,0,32,4.45485871,2.079081683,17.34375,3.25,4.765109012,7.14746262,0.0377,-14.83152174,0.324685534591195,0.3231552162849873
60135174,0,29,9.769133052,3.404575305,24.31034483,9.344827586000001,4.742410642,7.137222952,0.0052,18.92063492,0.4073816155988858,0.37714151607603846
60135183,0,32,5.8024431729999995,1.75976538,26.59375,7.5,4.9607912039999995,7.131093537999999,0.025,6.371980676000001,0.33558611046376136,0.6006256517205423
60135189,1,31,4.631356428,1.085584922,7.870967742,1.612903226,4.70146788,7.142770917000001,0.8255,-5.693181817999999,0.34563500384427204,0.34563500384427204
60135192,1,29,2.7601135119999998,0.43549417,3.24137931,1.24137931,4.781036113,7.138334737,0.8706,-26.31746032,0.369150626876214,0.369150626876214
60135193,1,28,3.209402522,2.00890873,8.821428571,3.535714286,4.58311897,7.143906247,0.125,-1.322368421,0.42890084550345886,0.27174975562072334
60135196,0,32,3.663106165,0.750671742,4.53125,2.21875,4.929617676,7.150508319,0.5191,-15.10628019,0.8611111111111112,0.8611111111111112
60135197,0,32,6.600876652,1.7734602590000001,23.09375,5.625,4.925277285,7.141116941,0.1402,15.43478261,0.2839127708492998,0.38472374393488806
60135204,1,31,5.87559194,2.293984654,8.548387097,3.064516129,4.588938052,7.149088602000001,0.1434,-8.196969697,0.3761454108457263,0.39384615384615385
60135225,0,32,3.069096746,1.023415376,31.0,4.28125,4.962736329,7.133120404,0.1398,16.26086957,0.3114754098360656,0.44082332761578047
60135230,0,32,9.773596343,3.288389889,17.65625,5.34375,4.724736783,7.141938322000001,0.35200000000000004,-4.971014493,0.2805589680589681,0.2805589680589681
60135233,0,29,4.672000236000001,2.0938568369999997,12.44827586,4.793103448,4.711327358,7.112552129,0.2979,-11.57222222,0.32933579335793356,0.32933579335793356
60135239,0,32,6.208410009,2.2965612440000003,31.8125,7.125,4.925510408,7.140170727999999,0.1682,27.22360248,0.4629404617253949,0.3733627285695759
60135243,0,32,4.772970773,0.915260407,15.84375,2.46875,4.90626647,7.138325727000001,0.6667,-13.58937198,0.3809208785392961,0.3809208785392961
60135256,0,32,4.7383132969999995,1.475266515,25.75,3.78125,4.893245244,7.1471842379999995,0.0745,6.657004831,0.3668922264400066,0.3668922264400066
60135269,0,22,7.37390391,2.20192753,14.22727273,6.090909091,4.3628782280000005,7.1448570789999994,0.2992,-13.45555556,0.27405405405405403,0.7857142857142857
60135275,1,32,4.338499815,0.9069623170000001,19.875,4.375,4.968568497,7.14806862,0.2163,-4.893719807,0.49503639973527463,0.49503639973527463
60135277,1,18,2.412521801,1.328422328,2.9444444439999997,1.6666666669999999,3.856564762,7.137507427,0.5385,-14.03333333,0.08890469416785206,0.08890469416785206
60135278,1,32,2.95377697,2.239671635,22.71875,7.625,4.931270933,7.137518527,0.0479,-4.053140097,0.45222929936305734,0.25471478463329456
60135293,0,32,6.385151626,1.560603688,33.4375,5.875,4.949455907,7.151169324,0.1105,26.25603865,0.2452464575511687,0.2604166666666667
60135302,0,32,9.295984218,3.46351956,36.6875,10.5625,4.930111909,7.133899058,0.0418,17.56521739,0.41285140562248995,0.2749223870300104
60135304,1,7,10.17232473,2.853569194,11.14285714,4.1428571430000005,2.499235202,7.145133574,0.3731,-3.311111111,0.3637331440738112,0.3637331440738112
